Column1,listing_id,id,date,reviewer_id,reviewer_name,comments,length,language,compound,neg,neu,pos,English
54859,8664337,419505446,"04,03,19",244886931,Tracy,The accommodation in itself was fine but we had a terrible experience during our stay The landlords agent came to the apartment and notified us we might be evicted on THAT night because the Airbnb host was 3 months rent in arrears We were confused and worried about our safetybelongings and where we would have to stay for the remaining holidays In the end we received no further communication so we stayed and selfchecked out The stress and suspense were just unnecessary,482,en,-0.9118,0.17,0.78,0.05,
30556,23132022,460738286,"30,05,19",123205870,Scott,Great location but a tiny shoebox with no tv Owner is quick on responses but had many appliance issues ie broken laundry machine dodgy WiFi and broken sink,161,en,-0.8979,0.345,0.59,0.065,
57304,21361120,326285031,"22,09,18",87141044,Jason,The place is situated about 5 minutes from Boon Keng MRT station and was convenient For westerners the local shops are limited with young children but that was fineRoom was reasonable and reflective of price in comparison to local options Singapore is just expensiveDid not use kitchen so no commentary offeredBathrooms are small but very good showers and bedrooms ample for sureOne minor criticism and it is minor is tv is very small and choice poor as no cable This was not a problem but with no DVD and young children meaning early nights could be an issue for some,584,en,-0.8927,0.16,0.779,0.061,
39953,15533066,161930521,"19,06,17",4021705,Venkat,This place is 11 mins from MRT There are no windows There is no drinking water in the room Water pressure in the bath room is dismal There is no hand wash soap zero flexibility for even one hour late check out Not worth the money,235,en,-0.8884,0.265,0.693,0.043,
49937,30385453,404952412,"26,01,19",79642075,Lemon,The room was smaller than I expected No elevator  And there was no hair dryer in our room so we asked for one and the receptionist said would prepare one for us However nothing was prepared and when we phoned her she just answered no solution until the next day which made us disappointed  The room was tidy and we did not need to share the bed with others,364,en,-0.8755,0.171,0.829,0,
42243,17410029,612158335,"29,02,20",293307574,Betzaida,Place was clean but totally empty  If you want a place without anything Just an empty bed This is your place No even a blanket to sleep no towels  place not ready until almost three hours after the check in time Host responded quickly full of excuses,258,en,-0.8691,0.232,0.709,0.059,
55782,12801097,98897233,"02,09,16",3417712,Elmar,Worst experience on Airbnb by far  After 20 good experiences I had my first very negative one  Place is advertised as entire apartment but in reality its a private room within an apartment which according to the fire code of that building is illegal  I made Airbnb and the building aware of this after I found a notice on the pool deck informing me of such prior to my last night  Neither Airbnb nor the owner have taken any action to rectify this therefore please be warned and very careful when renting here,514,en,-0.8576,0.145,0.788,0.067,
46647,37484436,579576633,"21,12,19",319158520,Abidin,Unfortunately nobody shiwed up when we arrived at the unit The security tried to help by call the render but not picked up We were so tired and confused to knock and knock the door caused it was 10 to 11 pm sstill nobody shiwed upOur worst experience in Sporea true nightmare for my little child as well,312,en,-0.852,0.21,0.664,0.126,
60076,40596547,621956593,"07,04,20",20200025,Venceslas,Stayed there for 2 months and I regret it First of all pictures are very deceiving Rooms are much smaller than they appear to be in the pictures People are noisy and you can hear everything in the corridor as if you were in a dorm Location is very isolated with no conveniences close by except one cheap restaurant and vending machines downstairs and far from the metro 1km Appliances are crap Had to ask for a proper iron First one caused my electricity to shut down and had to wait ages to get power Fridges are bad and freezer does not freeze well and ice builds up very quickly Room should at least have a toaster and microwave The only good thing were the staff Very good attitude and all but the cleaning was a bit sloppy  Laundry provided by staff once a week No washing machine in the rooms,819,en,-0.8364,0.112,0.863,0.025,
4473,8038199,626290079,"26,05,20",268183599,Zhou,Worst stuff with bad attitude,29,en,-0.8225,0.717,0.283,0,
26500,22577896,298050369,"29,07,18",97244336,R.C.,Not worth your money for not having a bed frame instead sleeping on the floor with a very thin mattress only Back pain and leg pain,135,en,-0.8056,0.264,0.736,0,
60810,18259421,170598112,"16,07,17",138014358,A,This Condo belongs to a Bangladeshi origin person Condo is duplex but one room is closed and there is no access to Balcony There is a store room near to kitchen which contains a lot of filthy and dirty thing Bedsheet had small hairs on it when we arrived It was changed 1 hr after we arrived and it took 30 mins for the caretaker to clean the room Wasted a lot of time There was false odor in room no refill was there in Air Wick machineNew towels were asked as old ones were dirty But there was no reply from host He replied for apologies only after we checked outA bit of struggle was to search for watchman of the building to ask for keys No information of check in was provided beforeIf you are booking a stay much before your travel dates better to book in nearby hotels like Park hotel or Park Royal All furniture is seconds product Bed makes a lot of sound even if you move a little on itLocations is good A lot of good restaurants nearby,964,en,-0.7783,0.121,0.794,0.085,
58761,22177543,313751788,"26,08,18",26433416,Fábio,This host was dishonest and created a false ad The pictures provided room kitchen and common area were not true Only discovered the problem when I arrived at the place and had nowhere else to go It was advertised a private house with 3 rooms a kitchen with microwave and stove and a common area with tables and more kitchen appliances However the place is actually a hostel with more than 20 rooms The kitchen and common area of the pictures dont exist There were no microwave or stove available to use The room was similar to the picture but not the actual room provided I followed all Airbnb instructions and rules but the host refused to reimburse me,676,en,-0.7761,0.082,0.906,0.012,
55717,23348717,307254800,"14,08,18",32215822,Raymond,The place was much smaller than I expected The 2 smaller rooms are very small 1 with the double bed have no room to move with the door not able to open fully The location is quite good in that it is close to quite a bit of food but not close to public transport You can catch the taxi on the main streetThe area is a bit dodgy and is quite close to the red light district When we arrived the washing machine was leaking and there were no towels Sunny had to bring some which she did promptly,511,en,-0.7685,0.091,0.889,0.02,
15066,15394158,470181627,"16,06,19",46192625,Ma. Patricia Samantha,Place is difficult to find because of late instructions So disappointed,77,en,-0.7573,0.419,0.581,0,
49792,26933485,329478886,"29,09,18",55822621,Richard,Attic apartment with sky lights and no windows  view On 5th floor with elevator to only 4th floor then 2 flights of stairs Difficult with luggage No microwave so cooking is a kettle and 2 burners Wifi terrible Suitable for checking emails but not to work with Very noisy as it is above a bar Do not expect to sleep before midnight or later at weekends,361,en,-0.7572,0.135,0.865,0,
42795,20865016,279882808,"22,06,18",106500507,Charlie,Location is awful takes quite a while to get in to the city centre Despite the photographs of the gym you in fact do not have access to it As well as this disappointment the fact a dryer is listed on the amenities is also a lie and in fact there is no dryer,264,en,-0.7506,0.14,0.825,0.035,
41917,27428758,611074672,"26,02,20",65638630,Daniela,The price is too high for this tiny Apartment Unfortunately the pool area was closed because of the Corona Virus but many other pools were open The host refused to give us a compensation There is no balcony terrace or any possibility to sit outside,255,en,-0.743,0.148,0.852,0,
14327,5493930,432786852,"05,04,19",1327781,Bill,Nice place but if you have trouble climbing stairs it might be a problem,73,en,-0.7351,0.355,0.55,0.095,
29203,22348216,278443310,"18,06,18",183809610,Wei,The locations is at Geylang Lorong 24 there are too dangerous for family and girls there have a lot of Bangladesh stand downstairs too dangerous,152,en,-0.7351,0.212,0.788,0,
50258,11865360,608202233,"20,02,20",20074705,Amy,The studio has no living room Do not expect there is a couch to sit nor a dining table to use The only comfortable place is the bedroom which has a TV and AC Bed has no frame It is hard to lean against the wall even with the pillow Do not use the dryer as hot air can fill up the kitchen in no time There is no AC in the kitchen and no ventilation in the bathroom,370,en,-0.7269,0.141,0.821,0.038,
59692,11245028,418834152,"03,03,19",183105016,Gilbert,I got here with my wife and 3 kids ages 10 8 1 and were impressed by the modern look and cleanness Rooms had AC and all you need Website hidden by Airbnb as soon as we got there we saw small lizards in the house since the bathroom windows were open Kids were scared and it took some time and energy to kill them On the 2nd day my kid broke the bowl and there was no broom in the house I contacted Anthony to let him know about the bowl and he charged me 5 for an IKEA bowl The lights in the bathroom are way too dim and depressing There were no kitchen towels There was only 4 plates bowls spoon and Over all it was worth it but since I am a host myself in America I couldnt not compareAnthony was extremely quick in answering the messages,768,en,-0.7227,0.082,0.886,0.032,
30742,7827659,478494572,"30,06,19",219046930,Tarun Reddy,Its a good place to stay for the price But unfortunately on the day if my arrival the AC wasnt working at all so it was very difficult to stay there overnight,162,en,-0.704,0.18,0.768,0.052,
8831,9927724,224996618,"05,01,18",127763129,Philip,Would not recommend beds were in bad condition,47,en,-0.6818,0.483,0.517,0,
16231,28321986,456198031,"21,05,19",231282214,Nang,The atmosphere is neat and tidy but one disadvantage is that there is no elevator,83,en,-0.6705,0.317,0.585,0.098,
61833,14397294,113286328,"11,11,16",12757546,Danbee,The photos are accurate and the Oslo room is cosy and comfortableHowever there is little separation from the rest of the house which has not been built with acoustics in mind  conversations on the ground floor could be heard from inside the bedroom two flights of stairs above which I found very distracting and disruptiveThe morning after my checkin a Sunday a commotion on the ground floor woke me up A filming crew of about 50 took over the house from before 8 am until after 10 pm working on a tv show They returned for another day of filming on the day I checked out a Saturday I had received no warning about this and was very unhappy about not being able to spend a peaceful weekend in the space I had paid for I also had no access to the laundry room or the kitchen which forced me out of the house in search of alternative solutions The host was apologetic when I contacted them and explained that this was a weekly arrangement they were trying outMore on noise the house is on a street that gets constant traffic throughout the night  trucks and motorcycles made it impossible to get a good nights sleep Other places I stayed at just a few streets over did not have these noise issuesAlso all windows in the room and ensuite bathroom have been heavily frosted or covered up all together  there is no natural light Lastly the internet connection in the room was not good enough for Hidden by Airbnb or FaceTime conversations  I ended up using the 4G connection on my phone instead of the wifi provided,1555,en,-0.6669,0.052,0.914,0.034,
34513,10040969,601616400,"03,02,20",132344477,Julia,Very basic hostel We had the double bed in the dorm it was Uncomfortable and noisy Locker provided for the two of us was small and could not fit both of our luggage Mold in the capsule,189,en,-0.6608,0.159,0.841,0,
35247,29472000,347215530,"11,11,18",14454835,Eric,That stay was below the expectations set by a previous stay in a similar unit around the corner mainly due to the poor finishing of the recent renovation work An unresponsive host did not help,195,en,-0.6551,0.14,0.86,0,
39087,26553209,415147043,"22,02,19",236443366,Ashish,Worst experience communication is very bad  and if anyone wants to check in early  please make sure you have got all the check in details Coz we had to wait for 3 hours outside the apartment as he was not picking up the call,227,en,-0.6478,0.15,0.762,0.088,
38526,6023517,214501459,"26,11,17",27112851,Claudia,The apartment was ok not super clean but ok for the price you pay Communication with Elise went smoothly The roof of the kitchen is badly built so if it rains you will be cooking and taking a shower at the same time,222,en,-0.6189,0.186,0.728,0.087,
51038,4108082,550614417,"19,10,19",255666792,Chris,Unfortunately we checked out right away due to the condition of the place  Review is coming from a host and a traveler The place looked and felt outdated and that it needed some major TLC  Tiles on the floor were loose and shaky the place was not cleaned well  If you are not picky this place should be fine for you  But it was not well represented in the photos when booking,385,en,-0.6159,0.111,0.87,0.018,
16635,29498177,499142646,"31,07,19",45653366,Ershad,Richard is a terrible host Unresponsive and cancels booking even after checkin time,85,en,-0.6124,0.312,0.688,0,
28572,22454647,436406641,"13,04,19",251891743,Pranesh,Checkin experience was good but we complaint that kitchen cooking gas is not getting started There was no response from first day to check out,148,en,-0.5647,0.19,0.745,0.066,
28814,21193416,419864488,"05,03,19",105444684,Hellen,Just a place to sleep   Kitchen a bit dirty and no cleaning service  But room ovarall is okay Front door unclock will feel unsafe and unsecured,149,en,-0.5574,0.222,0.703,0.075,
44716,21194823,425806177,"19,03,19",17657815,Carrie,Not recommend Only shower and bed is okay The whole toilet cover is broken it is not convenience No TV in the room Also no shampoo and conditionerIt is not a must but they put only a empty hair conditioner bottle in the bathroomNot really near MRT station It takes 810 mins,287,en,-0.544,0.132,0.817,0.051,
39704,24511491,304133985,"09,08,18",172674457,Patrick,This isnt a pod hostel This is bunks pushed up against a wall with a useless curtain to give you privacy The WiFi was intermittent and the aircon couldnt get in the bunks Not worth the money its essentially a 30 bed mixed dorm,233,en,-0.5371,0.096,0.904,0,
32859,5355795,112676260,"06,11,16",27724271,Chris,Checkin was very smooth close to many dining places and theres a new MRT stop thats opening up soon no more than 15m so itll be even more convenient to get around the city,177,en,-0.5267,0.121,0.879,0,
60011,12947194,101064619,"11,09,16",35724953,Rajeev,They came to the apartment to provide the keys very late or early in the morning ThanksOnly feedback I would like provide is that  they could have accommodated our request of early checkin instead of making us to book the room from an earlier day We communicated that we will be coming in early since our flight lands earlier in the day and depart very early too in addition we will be out of the apartment for three days to visit Kuala LumpurI have stayed in many hotels and AirBnB  everyone has been able to accommodate these things without any additional charges and no issues including forcing the visitor requester to pay for In the end this stay did not benefit or save us in anyway  I could have stayed at a 5star hotel for the same amount of money for actual nights I needed the bed for,811,en,-0.5258,0.056,0.916,0.028,
41469,18062352,534721583,"23,09,19",227578127,Xiaolin,The place was clean and the furniture was new Host was nice and friendly But one of the bed smells bad and I dont know why The machinesthe power generator or air con outside the window were quite noisy just keep running during the whole night,250,en,-0.5251,0.134,0.758,0.108,
46533,27470725,437680739,"15,04,19",17942409,Jose,This apartment was OK Not great When I arrived by car there was no access to the parking for me I had to drive around to look for street parking Not the best area to park your car Air conditioning in main bedroom did not blow cold air Other two were fine Basic apartment Fine for a short stay 13 days,311,en,-0.5153,0.126,0.781,0.093,
51049,39831558,600566313,"02,02,20",51605298,Séamus,Staying a couple of nights in Singapore Youll need at a minimum a comfy bed a shower toilet to call your own air conditioning WiFi Its all here You shouldnt be spending long enough in the cell to start ruminating on the sad lot of a jailbird  so get over the small space Leave the one chair to the person applying makeup and its only 10 minutes to the action or sights,385,en,-0.5106,0.058,0.942,0,
24423,8313733,411602299,"13,02,19",9155020,Julia,Its very dirty and unsafe to sleep in I slept in my own clothes Its small dark dirtyChoose other place if you can,122,en,-0.4927,0.127,0.873,0,
54914,10001615,84967584,"09,07,16",66183183,Arif,location awesome place to stay because near with MRT station rafless and clarkquay location is near with river so you get amazing view Breakfast there are bread juice milk fruit dimsum with limited portion but there  are a lot of snack and will be available for 24 hoursCleanness the space is cleanOthers if you are a big it is difficult to get shower but there are 1 bathroom in level 4 can accommodate your problem They provide earplug if you are a light sleeper,484,en,-0.4885,0.089,0.856,0.055,
6021,17122972,521409649,"01,09,19",286854240,Hazel,Nice place but not so good service,35,en,-0.4841,0.369,0.457,0.174,
29713,21287064,298023499,"29,07,18",39005874,Shenthil Nathan,Emily is a good host but the unit have some problem especially bathroom which is not clean Some towels had smells too Other than that the unit is okay,155,en,-0.4831,0.18,0.7,0.12,
27604,25047044,472536674,"20,06,19",4697734,Eric,Travelers beware Staff is rude and non communicative if you have an issue Confrontative attitude Here the customer is absolutely not right,142,en,-0.4588,0.125,0.875,0,
38682,23951500,622181281,"11,04,20",341378785,Terence,Small hotel and told me the day before that they are unable to accommodate me and wanted to cancel When I decided to cancel the hotel they went ahead and confirm it I couldnt change to other hotel and wouldnt refund me,223,en,-0.4588,0.091,0.909,0,
51951,37472011,555729284,"28,10,19",16656843,New,The only thing we like about Kelvins place is the location because it is very close to MRT station and the airport The bed is comfy but the blanket is abit thin There is no separate keys for each room so we couldnt lock the room whenever we are out and especially with our belongings in there and also with other guests staying in the same house Overall  this place is not recommended for long stay,404,en,-0.4475,0.059,0.919,0.022,
10238,24506830,578857015,"19,12,19",280810191,Vladislav,It is not bad But not really clean Little bit noisy,54,en,-0.4441,0.328,0.542,0.13,
15739,33388955,589883247,"07,01,20",165924257,Marcel,Nice flat Very quick response by the host Unfortunately the wifi wasnt great,80,en,-0.4393,0.308,0.541,0.151,
10028,9717005,405935437,"28,01,19",235630244,Aldrich,My room near road side very noisy and the bed so hard,53,en,-0.4328,0.278,0.722,0,
24735,6023517,215638411,"01,12,17",78283269,Matthew,Colleague and I stayed for a business trip and just needed a place to crash at night Very close to transportation and food,124,en,-0.4019,0.109,0.891,0,
25548,5184871,73015499,"06,05,16",68040177,용화,Showus house is very goodShe is very kindAnd shes house same photoI was some problem and she solvedThank you very much,129,en,-0.4019,0.119,0.881,0,
15435,16936558,449604749,"07,05,19",71824325,Tsz Ying Micky,The location is not very good need to walk at least 1015 mins to MRT station,79,en,-0.3865,0.149,0.851,0,
38388,28747912,534715689,"23,09,19",29804947,Davy,This apartment is in Chinatown which is a very nice place to be The building however isnt that great and youll need to use the dirty staircase to go up to the apartment Low priced and roomy but youll understand why,221,en,-0.3819,0.126,0.828,0.046,
17663,10598600,130882133,"09,02,17",115267569,Yi-Chu,The host canceled this reservation 86 days before arrival This is an automated posting,88,en,-0.3818,0.167,0.833,0,
49392,28271558,572693044,"03,12,19",7589856,Zvika,This apartment was one of my worst trips with Airbnb so far  The place is very different than whats advertised and from other reviewsIts filthy full of ants and human hairs all over the floor kitchen and sofaThe apartment is at a building that hosts prostitute bars and working girls it was awfulI recommend to stay away from this listing,354,en,-0.3818,0.063,0.898,0.039,
39349,7808030,176893333,"01,08,17",74374338,Jolene,Very easy communication we had a easy check in and out The place is clean furnishings is very old but all function The place Is located beside the main road so quite noisy for night sleeping Bedding is not comfortable also,230,en,-0.3743,0.134,0.744,0.122,
10016,30337969,478439364,"30,06,19",147977734,Cindy,The room is okay but the host wasnt very responsive,53,en,-0.3695,0.24,0.643,0.117,
9865,16618602,537073035,"28,09,19",289886876,Chandara,Unfriendly host very old apartment in unsecure area,52,en,-0.3612,0.263,0.737,0,
37503,10626652,200346435,"05,10,17",147617264,Rohit,Good accommodation A bit smaller than what I thought but most apartmentshotel rooms are smaller in SingaporeThe food in nearby hawker center was not very good however that May be due to my food preferences,213,en,-0.3578,0.089,0.86,0.051,
49818,7628360,553345787,"24,10,19",44328229,Shinta,Bryans place was spacious and clean The apartment complex was big and beautiful but unfortunately we did not have the time to swim thereIts a longer walk to go outside to the nearby mall so we took taxi online rides most of the timeAs for the kitchen we only managed to boil water and cut some fruits whatever that is normally possible in hotel rooms,362,en,-0.3506,0.081,0.859,0.061,
3925,26093769,300729983,"03,08,18",204399735,Maxence,Not a good rbnb experience,27,en,-0.3412,0.376,0.624,0,
13611,18605664,241629250,"10,03,18",103816060,Denny,Very strategic location for whoever crazy shopper Close to everywherr,70,en,-0.34,0.211,0.789,0,
32565,7829853,492048840,"21,07,19",94445678,Eugene,A conveniently located and sparkling clean accommodation  Some noise of cars passing on the road can be heard in the room but it is not so loud that it disturbs your sleep,175,en,-0.34,0.106,0.799,0.095,
11559,8036127,195343588,"19,09,17",144729832,Rina,Location is rather isolated Overally below my expectations,60,en,-0.3182,0.247,0.753,0,
16357,11687045,276484230,"14,06,18",153888358,Charmaine,The place is spacious and not badThe only issue is that the floor isnt that clean,83,en,-0.3089,0.131,0.869,0,
12349,12839857,167767902,"08,07,17",107332335,Brett And Kathy,Metro and large shopping mall very close to rooms No elevator,63,en,-0.296,0.18,0.82,0,
13400,35850080,566309345,"19,11,19",121266526,Henning,Overpriced and understaffed No wonder I barely saw any other guests,68,en,-0.296,0.18,0.82,0,
14371,33506058,553364160,"24,10,19",4640564,Philip,There is no tv instructions and cannot operate The bathroom is outdated,73,en,-0.296,0.167,0.833,0,
18451,17053896,365037039,"01,01,19",57150923,Ngai-Fung,The swimming pool is greatBus stop is nearly by the house although I take taxi instead,89,en,-0.296,0.128,0.872,0,
33037,18259421,404149717,"23,01,19",57732066,Michael,A bit much for what youre getting insufficient toiletriestowelsbath mats Also it isnt a penthouse apartment it is on the sixth floor with no direct access to the roofpool,178,en,-0.296,0.073,0.927,0,
3042,21257966,355826977,"06,12,18",215686684,Ak,Nothing much Tx anyway,23,en,-0.2755,0.413,0.587,0,
29380,28999077,441460216,"22,04,19",241040957,Jouni,We had a very pleasant stay Room was spacious and our initial concerns were unnecessary Only bad point was that there were no curtains for the windows,153,en,-0.2748,0.171,0.721,0.108,
18706,16618127,146184979,"21,04,17",116302928,Charoline Kristianti,If youre looking for low cost budget apt in singapore this place is really suit for you,90,en,-0.2732,0.116,0.884,0,
44318,15154001,292816456,"19,07,18",39237715,Benigno,Great location so much space for an apartment in this area very cozy A few things needed to get addressed with the owner due to a few issues but they were quick to attend and to communicate I would rate 710 due to those small reoccurring problems feedback has been submitted,282,en,-0.25,0.064,0.889,0.046,
9094,2868366,405926441,"28,01,19",226630747,Wan Farhan,Small place  Nothing fancy  overall acceptable,48,en,-0.2411,0.282,0.718,0,
33154,71903,419387,"04,08,11",756759,Piotr,It was fine Perfect for someone wanting to be close yo airport but for exploring the city  to far away Almost 1 hour to get to city center is tireing and a bit a waste of time,179,en,-0.2382,0.089,0.82,0.09,
40642,33795262,449573159,"07,05,19",109969942,Vivi,We had a pleasant stay Joels place is clean and close to description It is near to Orchard road and bus stops are also near in case you are lazy to walk The only small problem we have is the unit is on low floor we could hear the traffic,242,en,-0.2263,0.151,0.747,0.102,
53088,28554971,573367753,"06,12,19",243294264,Michelle Vania,Its my second time staying here Anytime you had questions or confusions during your stay they will answer so quick Very fast respond And the place is so strategic Its near to 3 MRT stations Bras Basah Bugis and Bencoolen from different lines so you have many options of route to visit many places in singapore And near the Bras Basah station you can find Seven Eleven store Food Republic food court and Starbucks,431,en,-0.2263,0.025,0.975,0,
