,GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Chance of Admit
87,317,107,2,3.5,3.0,8.28,0.66
88,314,108,3,4.5,3.5,8.14,0.64
89,316,109,4,4.5,3.5,8.76,0.74
90,318,106,2,4.0,4.0,7.92,0.64
91,299,97,3,5.0,3.5,7.66,0.38
92,298,98,2,4.0,3.0,8.03,0.34
93,301,97,2,3.0,3.0,7.88,0.44
94,303,99,3,2.0,2.5,7.66,0.36
95,304,100,4,1.5,2.5,7.84,0.42
96,306,100,2,3.0,3.0,8.0,0.48
97,331,120,3,4.0,4.0,8.96,0.86
98,332,119,4,5.0,4.5,9.24,0.9
99,323,113,3,4.0,4.0,8.88,0.79
100,322,107,3,3.5,3.5,8.46,0.71
101,312,105,2,2.5,3.0,8.12,0.64
102,314,106,2,4.0,3.5,8.25,0.62
103,317,104,2,4.5,4.0,8.47,0.57
104,326,112,3,3.5,3.0,9.05,0.74
105,316,110,3,4.0,4.5,8.78,0.69
106,329,111,4,4.5,4.5,9.18,0.87
107,338,117,4,3.5,4.5,9.46,0.91
108,331,116,5,5.0,5.0,9.38,0.93
109,304,103,5,5.0,4.0,8.64,0.68
110,305,108,5,3.0,3.0,8.48,0.61
111,321,109,4,4.0,4.0,8.68,0.69
112,301,107,3,3.5,3.5,8.34,0.62
113,320,110,2,4.0,3.5,8.56,0.72
114,311,105,3,3.5,3.0,8.45,0.59
115,310,106,4,4.5,4.5,9.04,0.66
116,299,102,3,4.0,3.5,8.62,0.56
117,290,104,4,2.0,2.5,7.46,0.45
118,296,99,2,3.0,3.5,7.28,0.47
119,327,104,5,3.0,3.5,8.84,0.71
120,335,117,5,5.0,5.0,9.56,0.94
121,334,119,5,4.5,4.5,9.48,0.94
122,310,106,4,1.5,2.5,8.36,0.57
123,308,108,3,3.5,3.5,8.22,0.61
124,301,106,4,2.5,3.0,8.47,0.57
125,300,100,3,2.0,3.0,8.66,0.64
126,323,113,3,4.0,3.0,9.32,0.85
127,319,112,3,2.5,2.0,8.71,0.78
128,326,112,3,3.5,3.0,9.1,0.84
129,333,118,5,5.0,5.0,9.35,0.92
130,339,114,5,4.0,4.5,9.76,0.96
131,303,105,5,5.0,4.5,8.65,0.77
132,309,105,5,3.5,3.5,8.56,0.71
133,323,112,5,4.0,4.5,8.78,0.79
134,333,113,5,4.0,4.0,9.28,0.89
135,314,109,4,3.5,4.0,8.77,0.82
136,312,103,3,5.0,4.0,8.45,0.76
137,316,100,2,1.5,3.0,8.16,0.71
138,326,116,2,4.5,3.0,9.08,0.8
139,318,109,1,3.5,3.5,9.12,0.78
140,329,110,2,4.0,3.0,9.15,0.84
141,332,118,2,4.5,3.5,9.36,0.9
142,331,115,5,4.0,3.5,9.44,0.92
143,340,120,4,4.5,4.0,9.92,0.97
144,325,112,2,3.0,3.5,8.96,0.8
145,320,113,2,2.0,2.5,8.64,0.81
146,315,105,3,2.0,2.5,8.48,0.75
147,326,114,3,3.0,3.0,9.11,0.83
148,339,116,4,4.0,3.5,9.8,0.96
149,311,106,2,3.5,3.0,8.26,0.79
150,334,114,4,4.0,4.0,9.43,0.93
151,332,116,5,5.0,5.0,9.28,0.94
152,321,112,5,5.0,5.0,9.06,0.86
153,324,105,3,3.0,4.0,8.75,0.79
154,326,108,3,3.0,3.5,8.89,0.8
155,312,109,3,3.0,3.0,8.69,0.77
156,315,105,3,2.0,2.5,8.34,0.7
157,309,104,2,2.0,2.5,8.26,0.65
158,306,106,2,2.0,2.5,8.14,0.61
159,297,100,1,1.5,2.0,7.9,0.52
160,315,103,1,1.5,2.0,7.86,0.57
161,298,99,1,1.5,3.0,7.46,0.53
162,318,109,3,3.0,3.0,8.5,0.67
163,317,105,3,3.5,3.0,8.56,0.68
164,329,111,4,4.5,4.0,9.01,0.81
165,322,110,5,4.5,4.0,8.97,0.78
166,302,102,3,3.5,5.0,8.33,0.65
167,313,102,3,2.0,3.0,8.27,0.64
168,293,97,2,2.0,4.0,7.8,0.64
169,311,99,2,2.5,3.0,7.98,0.65
170,312,101,2,2.5,3.5,8.04,0.68
171,334,117,5,4.0,4.5,9.07,0.89
172,322,110,4,4.0,5.0,9.13,0.86
173,323,113,4,4.0,4.5,9.23,0.89
174,321,111,4,4.0,4.0,8.97,0.87
175,320,111,4,4.5,3.5,8.87,0.85
176,329,119,4,4.5,4.5,9.16,0.9
177,319,110,3,3.5,3.5,9.04,0.82
178,309,108,3,2.5,3.0,8.12,0.72
179,307,102,3,3.0,3.0,8.27,0.73
180,300,104,3,3.5,3.0,8.16,0.71
181,305,107,2,2.5,2.5,8.42,0.71
182,299,100,2,3.0,3.5,7.88,0.68
183,314,110,3,4.0,4.0,8.8,0.75
184,316,106,2,2.5,4.0,8.32,0.72
185,327,113,4,4.5,4.5,9.11,0.89
186,317,107,3,3.5,3.0,8.68,0.84
187,335,118,5,4.5,3.5,9.44,0.93
188,331,115,5,4.5,3.5,9.36,0.93
189,324,112,5,5.0,5.0,9.08,0.88
190,324,111,5,4.5,4.0,9.16,0.9
191,323,110,5,4.0,5.0,8.98,0.87
192,322,114,5,4.5,4.0,8.94,0.86
193,336,118,5,4.5,5.0,9.53,0.94
194,316,109,3,3.5,3.0,8.76,0.77
195,307,107,2,3.0,3.5,8.52,0.78
196,306,105,2,3.0,2.5,8.26,0.73
197,310,106,2,3.5,2.5,8.33,0.73
198,311,104,3,4.5,4.5,8.43,0.7
199,313,107,3,4.0,4.5,8.69,0.72
200,317,103,3,2.5,3.0,8.54,0.73
201,315,110,2,3.5,3.0,8.46,0.72
202,340,120,5,4.5,4.5,9.91,0.97
203,334,120,5,4.0,5.0,9.87,0.97
204,298,105,3,3.5,4.0,8.54,0.69
205,295,99,2,2.5,3.0,7.65,0.57
206,315,99,2,3.5,3.0,7.89,0.63
207,310,102,3,3.5,4.0,8.02,0.66
208,305,106,2,3.0,3.0,8.16,0.64
209,301,104,3,3.5,4.0,8.12,0.68
210,325,108,4,4.5,4.0,9.06,0.79
211,328,110,4,5.0,4.0,9.14,0.82
212,338,120,4,5.0,5.0,9.66,0.95
213,333,119,5,5.0,4.5,9.78,0.96
214,331,117,4,4.5,5.0,9.42,0.94
215,330,116,5,5.0,4.5,9.36,0.93
216,322,112,4,4.5,4.5,9.26,0.91
217,321,109,4,4.0,4.0,9.13,0.85
218,324,110,4,3.0,3.5,8.97,0.84
219,312,104,3,3.5,3.5,8.42,0.74
220,313,103,3,4.0,4.0,8.75,0.76
221,316,110,3,3.5,4.0,8.56,0.75
222,324,113,4,4.5,4.0,8.79,0.76
223,308,109,2,3.0,4.0,8.45,0.71
224,305,105,2,3.0,2.0,8.23,0.67
225,296,99,2,2.5,2.5,8.03,0.61
226,306,110,2,3.5,4.0,8.45,0.63
227,312,110,2,3.5,3.0,8.53,0.64
228,318,112,3,4.0,3.5,8.67,0.71
229,324,111,4,3.0,3.0,9.01,0.82
230,313,104,3,4.0,4.5,8.65,0.73
231,319,106,3,3.5,2.5,8.33,0.74
232,312,107,2,2.5,3.5,8.27,0.69
233,304,100,2,2.5,3.5,8.07,0.64
234,330,113,5,5.0,4.0,9.31,0.91
235,326,111,5,4.5,4.0,9.23,0.88
236,325,112,4,4.0,4.5,9.17,0.85
237,329,114,5,4.5,5.0,9.19,0.86
238,310,104,3,2.0,3.5,8.37,0.7
239,299,100,1,1.5,2.0,7.89,0.59
240,296,101,1,2.5,3.0,7.68,0.6
241,317,103,2,2.5,2.0,8.15,0.65
242,324,115,3,3.5,3.0,8.76,0.7
243,325,114,3,3.5,3.0,9.04,0.76
244,314,107,2,2.5,4.0,8.56,0.63
245,328,110,4,4.0,2.5,9.02,0.81
246,316,105,3,3.0,3.5,8.73,0.72
247,311,104,2,2.5,3.5,8.48,0.71
248,324,110,3,3.5,4.0,8.87,0.8
249,321,111,3,3.5,4.0,8.83,0.77
250,320,104,3,3.0,2.5,8.57,0.74
251,316,99,2,2.5,3.0,9.0,0.7
252,318,100,2,2.5,3.5,8.54,0.71
253,335,115,4,4.5,4.5,9.68,0.93
254,321,114,4,4.0,5.0,9.12,0.85
255,307,110,4,4.0,4.5,8.37,0.79
256,309,99,3,4.0,4.0,8.56,0.76
257,324,100,3,4.0,5.0,8.64,0.78
258,326,102,4,5.0,5.0,8.76,0.77
259,331,119,4,5.0,4.5,9.34,0.9
260,327,108,5,5.0,3.5,9.13,0.87
261,312,104,3,3.5,4.0,8.09,0.71
262,308,103,2,2.5,4.0,8.36,0.7
263,324,111,3,2.5,1.5,8.79,0.7
264,325,110,2,3.0,2.5,8.76,0.75
265,313,102,3,2.5,2.5,8.68,0.71
266,312,105,2,2.0,2.5,8.45,0.72
267,314,107,3,3.0,3.5,8.17,0.73
268,327,113,4,4.5,5.0,9.14,0.83
269,308,108,4,4.5,5.0,8.34,0.77
270,306,105,2,2.5,3.0,8.22,0.72
271,299,96,2,1.5,2.0,7.86,0.54
272,294,95,1,1.5,1.5,7.64,0.49
273,312,99,1,1.0,1.5,8.01,0.52
274,315,100,1,2.0,2.5,7.95,0.58
275,322,110,3,3.5,3.0,8.96,0.78
276,329,113,5,5.0,4.5,9.45,0.89
277,320,101,2,2.5,3.0,8.62,0.7
278,308,103,2,3.0,3.5,8.49,0.66
279,304,102,2,3.0,4.0,8.73,0.67
280,311,102,3,4.5,4.0,8.64,0.68
281,317,110,3,4.0,4.5,9.11,0.8
282,312,106,3,4.0,3.5,8.79,0.81
283,321,111,3,2.5,3.0,8.9,0.8
284,340,112,4,5.0,4.5,9.66,0.94
285,331,116,5,4.0,4.0,9.26,0.93
286,336,118,5,4.5,4.0,9.19,0.92
287,324,114,5,5.0,4.5,9.08,0.89
288,314,104,4,5.0,5.0,9.02,0.82
289,313,109,3,4.0,3.5,9.0,0.79
290,307,105,2,2.5,3.0,7.65,0.58
291,300,102,2,1.5,2.0,7.87,0.56
292,302,99,2,1.0,2.0,7.97,0.56
293,312,98,1,3.5,3.0,8.18,0.64
294,316,101,2,2.5,2.0,8.32,0.61
295,317,100,2,3.0,2.5,8.57,0.68
296,310,107,3,3.5,3.5,8.67,0.76
297,320,120,3,4.0,4.5,9.11,0.86
298,330,114,3,4.5,4.5,9.24,0.9
299,305,112,3,3.0,3.5,8.65,0.71
300,309,106,2,2.5,2.5,8.0,0.62
301,319,108,2,2.5,3.0,8.76,0.66
302,322,105,2,3.0,3.0,8.45,0.65
303,323,107,3,3.5,3.5,8.55,0.73
304,313,106,2,2.5,2.0,8.43,0.62
305,321,109,3,3.5,3.5,8.8,0.74
306,323,110,3,4.0,3.5,9.1,0.79
307,325,112,4,4.0,4.0,9.0,0.8
308,312,108,3,3.5,3.0,8.53,0.69
309,308,110,4,3.5,3.0,8.6,0.7
310,320,104,3,3.0,3.5,8.74,0.76
311,328,108,4,4.5,4.0,9.18,0.84
312,311,107,4,4.5,4.5,9.0,0.78
313,301,100,3,3.5,3.0,8.04,0.67
314,305,105,2,3.0,4.0,8.13,0.66
315,308,104,2,2.5,3.0,8.07,0.65
316,298,101,2,1.5,2.0,7.86,0.54
317,300,99,1,1.0,2.5,8.01,0.58
318,324,111,3,2.5,2.0,8.8,0.79
319,327,113,4,3.5,3.0,8.69,0.8
320,317,106,3,4.0,3.5,8.5,0.75
321,323,104,3,4.0,4.0,8.44,0.73
322,314,107,2,2.5,4.0,8.27,0.72
323,305,102,2,2.0,2.5,8.18,0.62
324,315,104,3,3.0,2.5,8.33,0.67
325,326,116,3,3.5,4.0,9.14,0.81
326,299,100,3,2.0,2.0,8.02,0.63
327,295,101,2,2.5,2.0,7.86,0.69
328,324,112,4,4.0,3.5,8.77,0.8
329,297,96,2,2.5,1.5,7.89,0.43
330,327,113,3,3.5,3.0,8.66,0.8
331,311,105,2,3.0,2.0,8.12,0.73
332,308,106,3,3.5,2.5,8.21,0.75
333,319,108,3,3.0,3.5,8.54,0.71
334,312,107,4,4.5,4.0,8.65,0.73
335,325,111,4,4.0,4.5,9.11,0.83
336,319,110,3,3.0,2.5,8.79,0.72
337,332,118,5,5.0,5.0,9.47,0.94
338,323,108,5,4.0,4.0,8.74,0.81
339,324,107,5,3.5,4.0,8.66,0.81
340,312,107,3,3.0,3.0,8.46,0.75
341,326,110,3,3.5,3.5,8.76,0.79
342,308,106,3,3.0,3.0,8.24,0.58
343,305,103,2,2.5,3.5,8.13,0.59
344,295,96,2,1.5,2.0,7.34,0.47
345,316,98,1,1.5,2.0,7.43,0.49
346,304,97,2,1.5,2.0,7.64,0.47
347,299,94,1,1.0,1.0,7.34,0.42
348,302,99,1,2.0,2.0,7.25,0.57
349,313,101,3,2.5,3.0,8.04,0.62
350,318,107,3,3.0,3.5,8.27,0.74
351,325,110,4,3.5,4.0,8.67,0.73
352,303,100,2,3.0,3.5,8.06,0.64
353,300,102,3,3.5,2.5,8.17,0.63
354,297,98,2,2.5,3.0,7.67,0.59
355,317,106,2,2.0,3.5,8.12,0.73
356,327,109,3,3.5,4.0,8.77,0.79
357,301,104,2,3.5,3.5,7.89,0.68
358,314,105,2,2.5,2.0,7.64,0.7
359,321,107,2,2.0,1.5,8.44,0.81
360,322,110,3,4.0,5.0,8.64,0.85
361,334,116,4,4.0,3.5,9.54,0.93
362,338,115,5,4.5,5.0,9.23,0.91
363,306,103,2,2.5,3.0,8.36,0.69
364,313,102,3,3.5,4.0,8.9,0.77
365,330,114,4,4.5,3.0,9.17,0.86
366,320,104,3,3.5,4.5,8.34,0.74
367,311,98,1,1.0,2.5,7.46,0.57
368,298,92,1,2.0,2.0,7.88,0.51
369,301,98,1,2.0,3.0,8.03,0.67
370,310,103,2,2.5,2.5,8.24,0.72
371,324,110,3,3.5,3.0,9.22,0.89
372,336,119,4,4.5,4.0,9.62,0.95
373,321,109,3,3.0,3.0,8.54,0.79
374,315,105,2,2.0,2.5,7.65,0.39
375,304,101,2,2.0,2.5,7.66,0.38
376,297,96,2,2.5,2.0,7.43,0.34
377,290,100,1,1.5,2.0,7.56,0.47
378,303,98,1,2.0,2.5,7.65,0.56
379,311,99,1,2.5,3.0,8.43,0.71
380,322,104,3,3.5,4.0,8.84,0.78
381,319,105,3,3.0,3.5,8.67,0.73
382,324,110,4,4.5,4.0,9.15,0.82
383,300,100,3,3.0,3.5,8.26,0.62
384,340,113,4,5.0,5.0,9.74,0.96
385,335,117,5,5.0,5.0,9.82,0.96
386,302,101,2,2.5,3.5,7.96,0.46
387,307,105,2,2.0,3.5,8.1,0.53
388,296,97,2,1.5,2.0,7.8,0.49
389,320,108,3,3.5,4.0,8.44,0.76
390,314,102,2,2.0,2.5,8.24,0.64
391,318,106,3,2.0,3.0,8.65,0.71
392,326,112,4,4.0,3.5,9.12,0.84
393,317,104,2,3.0,3.0,8.76,0.77
394,329,111,4,4.5,4.0,9.23,0.89
395,324,110,3,3.5,3.5,9.04,0.82
396,325,107,3,3.0,3.5,9.11,0.84
397,330,116,4,5.0,4.5,9.45,0.91
398,312,103,3,3.5,4.0,8.78,0.67
399,333,117,4,5.0,4.0,9.66,0.95
